,tablescraper-selected-row,name,tablescraper-selected-row 2,tablescraper-selected-row 3,num,num 2,num 3,num 4,tablescraper-selected-row 5
26,14.0,월드 오브 워크래프트,RPG,5.78,"3,387","25,046",149.0,"10,089",블리자드
28,15.0,워크래프트3 리포지드,RTS,0.97,"3,334","20,079",100.0,"12,099",블리자드
30,16.0,GTA 5,액션,9.72,"3,257","18,253",88.0,"12,495",스팀
32,17.0,블레이드 & 소울,RPG,3.57,"2,218","15,448",149.0,"6,228",엔씨소프트
34,18.0,스타크래프트2,RTS,0.68,"3,887","14,028",86.0,"9,856",블리자드
36,19.0,검은사막,RPG,3.2,"2,232","13,849",154.0,"5,413",(주)펄어비스
38,20.0,디아블로3,RPG,3.08,"2,866","13,359",113.0,"7,102",블리자드
40,21.0,아이온,RPG,2.7,"1,685","11,677",133.0,"5,281",엔씨소프트
42,22.0,테일즈런너,스포츠,5.29,"3,685","10,637",47.0,"13,602",스마일게이트
44,23.0,콜 오브 듀티: 모던 워페어,FPS,1.21,"2,947","10,604",69.0,"9,280",블리자드
46,24.0,레인보우식스 시즈,FPS,1.2,"2,925","10,546",79.0,"8,054",네오위즈/스팀
48,25.0,히어로즈 오브 더 스톰,RTS,0.49,"2,492","10,052",106.0,"5,694",블리자드
50,26.0,DOTA 2,RTS,0.48,986,"9,945",136.0,"4,409",스팀
52,27.0,패스 오브 엑자일,RPG,2.09,"1,563","9,045",154.0,"3,528",카카오/그라인딩 기어 게임즈
54,28.0,크레이지아케이드,아케이드,62.06,"3,622","7,941",41.0,"11,792",넥슨
56,29.0,파이널판타지14,RPG,1.73,"1,289","7,480",169.0,"2,659",액토즈소프트
58,30.0,스페셜포스,FPS,0.85,"1,710","7,461",119.0,"3,766",네오위즈
0,1.0,리그 오브 레전드,RTS,93.1,"8,794","8,857,057",96.0,"5,545,526",라이엇게임즈
