,Unnamed: 0,rank,change,name,service,genre
3884,4,5,(+2),트라하 인피니티,MOAI GAMES Corporation.,롤플레잉
3885,5,6,(-1),원신,miHoYo Limited,어드벤처
3886,6,7,(+1),전략적 팀 전투,"Riot Games, Inc",전략
3887,7,8,(+1),리니지M,NCSOFT Corporation,롤플레잉
3888,8,9,(-3),쿠키런: 킹덤,Devsisters Corporation,롤플레잉
3889,9,10,(-),바람의나라 연,NEXON Company,롤플레잉
3890,10,11,(-),브롤스타즈,Supercell,액션
3891,11,12,(-),제2의 나라,Netmarble,롤플레잉
3892,12,13,(-),리니지2M,NCSOFT Corporation,롤플레잉
3893,13,14,(-),냥코 대전쟁,PONOS Corporation,캐주얼 게임
3894,14,15,(+2),블루 아카이브,NEXON Company,롤플레잉
3895,15,16,(-),피파 모바일,NEXON Company,스포츠
3896,16,17,(+2),세븐나이츠2,Netmarble,롤플레잉
3897,17,18,(-3),메이플스토리M,NEXON Company,롤플레잉
3898,18,19,(+3),좀비고등학교,AWESOMEPIECE,아케이드
3899,19,20,(-2),카트라이더 러쉬플러스,NEXON Company,자동차 경주
3900,20,21,(-1),검은사막 모바일,PEARL ABYSS,롤플레잉
3901,21,22,(-1),히어로즈 테일즈,37 MOBILE GAMES,롤플레잉
3902,22,23,(+1),삼국지 전략판,Qookka Games,전략
3903,23,24,(+3),포켓몬고,"Niantic, Inc.",어드벤처
3904,24,25,(+3),그랑사가,NPIXEL,롤플레잉
3905,25,26,(-3),솔라 리바이벌,Ujoy Games,롤플레잉
3906,26,27,(+2),카운터사이드,NEXON Company,롤플레잉
3907,27,28,(-3),킹덤 : 전쟁의 불씨,파우게임즈,롤플레잉
3908,28,29,(+1),미르4,"Wemade Co., Ltd",롤플레잉
3909,29,30,(+4),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
3910,30,31,(NEW),테일드 데몬 슬레이어,CookApps,롤플레잉
3911,31,32,(-6),이스6 온라인,HaoPlay Limited,롤플레잉
3912,32,33,(-2),Football Manager 2022 Mobile,SEGA,스포츠
3913,33,34,(-2),블레이드&소울2,NCSOFT,롤플레잉
3914,34,35,(+2),라이즈 오브 킹덤즈,Lilith Games,전략
3915,35,36,(-),모두의마블,Netmarble,보드
3916,36,37,(-2),리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략
3917,37,38,(+2),배틀그라운드 모바일,PUBG CORPORATION,액션
3918,38,39,(NEW),2X,JOYGAME KOREA,롤플레잉
3919,39,40,(NEW),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
3920,0,1,(+1),ROBLOX,Roblox Corporation,어드벤처
3921,1,2,(-1),언디셈버,LINE Games,롤플레잉
3922,2,3,(-),리니지W,NCSOFT,롤플레잉
3923,3,4,(-),오딘: 발할라 라이징,KAKAO GAMES CORP.,롤플레잉
3924,4,5,(-),트라하 인피니티,MOAI GAMES Corporation.,롤플레잉
3925,5,6,(-),원신,miHoYo Limited,어드벤처
3926,6,7,(-),전략적 팀 전투,"Riot Games, Inc",전략
3927,7,8,(-),리니지M,NCSOFT Corporation,롤플레잉
3928,8,9,(-),쿠키런: 킹덤,Devsisters Corporation,롤플레잉
3929,9,10,(+1),브롤스타즈,Supercell,액션
3930,10,11,(NEW),뮤오리진3,Webzen Inc.,롤플레잉
3931,11,12,(-2),바람의나라 연,NEXON Company,롤플레잉
3932,12,13,(-1),제2의 나라,Netmarble,롤플레잉
3933,13,14,(-),냥코 대전쟁,PONOS Corporation,캐주얼 게임
3934,14,15,(-2),리니지2M,NCSOFT Corporation,롤플레잉
3935,15,16,(-1),블루 아카이브,NEXON Company,롤플레잉
3936,16,17,(-1),피파 모바일,NEXON Company,스포츠
3937,17,18,(+3),검은사막 모바일,PEARL ABYSS,롤플레잉
3938,18,19,(-2),세븐나이츠2,Netmarble,롤플레잉
3939,19,20,(+4),포켓몬고,"Niantic, Inc.",어드벤처
3940,20,21,(+2),삼국지 전략판,Qookka Games,전략
3941,21,22,(-),히어로즈 테일즈,37 MOBILE GAMES,롤플레잉
3942,22,23,(-4),좀비고등학교,AWESOMEPIECE,아케이드
3943,23,24,(-6),메이플스토리M,NEXON Company,롤플레잉
3944,24,25,(-5),카트라이더 러쉬플러스,NEXON Company,자동차 경주
3945,25,26,(+5),테일드 데몬 슬레이어,CookApps,롤플레잉
3946,26,27,(-2),그랑사가,NPIXEL,롤플레잉
3947,27,28,(+2),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
3948,28,29,(-),미르4,"Wemade Co., Ltd",롤플레잉
3949,29,30,(-4),솔라 리바이벌,Ujoy Games,롤플레잉
3950,30,31,(+8),2X,JOYGAME KOREA,롤플레잉
3951,31,32,(-4),킹덤 : 전쟁의 불씨,파우게임즈,롤플레잉
3952,32,33,(+2),라이즈 오브 킹덤즈,Lilith Games,전략
3953,33,34,(-),블레이드&소울2,NCSOFT,롤플레잉
3954,34,35,(+2),리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략
3955,35,36,(-3),Football Manager 2022 Mobile,SEGA,스포츠
3956,36,37,(-1),모두의마블,Netmarble,보드
3957,37,38,(-11),카운터사이드,NEXON Company,롤플레잉
3958,38,39,(-1),배틀그라운드 모바일,PUBG CORPORATION,액션
