,Unnamed: 0,week_num,rank,column-1 2,name,company,type
2337,2337,69,18,(+1),엘리온,(주)카카오게임즈,MMORPG
2338,2338,69,19,(+1),테일즈런너,㈜스마일게이트메가포트,레이싱
2339,2339,69,20,(-7),디아블로2,블리자드 엔터테인먼트,RPG
2340,2340,68,1,(-),리그 오브 레전드,라이엇 게임즈,MOBA
2341,2341,68,2,(-),로스트아크,㈜스마일게이트알피지,핵앤슬래시 MMORPG
2342,2342,68,3,(+1),피파온라인4,㈜넥슨코리아,스포츠
2343,2343,68,4,(-1),메이플스토리,㈜넥슨코리아,MMORPG
2344,2344,68,5,(-),아이온,㈜엔씨소프트,MMORPG
2345,2345,68,6,(-),서든어택,㈜넥슨코리아,FPS
2346,2346,68,7,(-),배틀그라운드,"펍지주식회사, 카카오게임즈",서바이벌 슈팅
2347,2347,68,8,(+1),마인크래프트,엑스박스 게임 스튜디오,샌드박스
2348,2348,68,9,(-1),던전앤파이터,㈜넥슨코리아,벨트 스크롤 액션 RPG
2349,2349,68,10,(+1),카트라이더,㈜넥슨코리아,레이싱
2350,2350,68,11,(-1),천하제일상 거상,㈜에이케이인터렉티브,MMORPG
2351,2351,68,12,(-),발로란트,라이엇 게임즈,FPS
2352,2352,68,13,(-),리니지,㈜엔씨소프트,MMORPG
2353,2353,68,14,(-),오버워치,블리자드 엔터테인먼트,팀 기반 슈팅
2354,2354,68,15,(-),아키에이지,㈜엑스엘게임즈,판타지 RPG
2355,2355,68,16,(-),마비노기,㈜넥슨코리아,MMORPG
2356,2356,68,17,(-),사이퍼즈,㈜넥슨코리아,액션
2357,2357,68,18,(-),엘리온,(주)카카오게임즈,MMORPG
2358,2358,68,19,(-),테일즈런너,㈜스마일게이트메가포트,레이싱
2359,2359,68,20,(+1),검은사막,㈜펄어비스,MMORPG
2360,2360,67,1,(-),리그 오브 레전드,라이엇 게임즈,MOBA
2361,2361,67,2,(-),로스트아크,㈜스마일게이트알피지,핵앤슬래시 MMORPG
2362,2362,67,3,(-),피파온라인4,㈜넥슨코리아,스포츠
2363,2363,67,4,(-),메이플스토리,㈜넥슨코리아,MMORPG
2364,2364,67,5,(-),아이온,㈜엔씨소프트,MMORPG
2365,2365,67,6,(-),서든어택,㈜넥슨코리아,FPS
2366,2366,67,7,(-),배틀그라운드,"펍지주식회사, 카카오게임즈",서바이벌 슈팅
2367,2367,67,8,(-),마인크래프트,엑스박스 게임 스튜디오,샌드박스
2368,2368,67,9,(-),던전앤파이터,㈜넥슨코리아,벨트 스크롤 액션 RPG
2369,2369,67,10,(-),카트라이더,㈜넥슨코리아,레이싱
2370,2370,67,11,(-),천하제일상 거상,㈜에이케이인터렉티브,MMORPG
2371,2371,67,12,(-),발로란트,라이엇 게임즈,FPS
2372,2372,67,13,(-),리니지,㈜엔씨소프트,MMORPG
2373,2373,67,14,(-),오버워치,블리자드 엔터테인먼트,팀 기반 슈팅
2374,2374,67,15,(+1),마비노기,㈜넥슨코리아,MMORPG
2375,2375,67,16,(-1),아키에이지,㈜엑스엘게임즈,판타지 RPG
2376,2376,67,17,(-),사이퍼즈,㈜넥슨코리아,액션
2377,2377,67,18,(-),엘리온,(주)카카오게임즈,MMORPG
2378,2378,67,19,(-),테일즈런너,㈜스마일게이트메가포트,레이싱
2379,2379,67,20,(-),검은사막,㈜펄어비스,MMORPG
2380,2380,66,1,(-),리그 오브 레전드,라이엇 게임즈,MOBA
2381,2381,66,2,(+1),피파온라인4,㈜넥슨코리아,스포츠
2382,2382,66,3,(-1),로스트아크,㈜스마일게이트알피지,핵앤슬래시 MMORPG
2383,2383,66,4,(-),메이플스토리,㈜넥슨코리아,MMORPG
2384,2384,66,5,(-),아이온,㈜엔씨소프트,MMORPG
2385,2385,66,6,(-),서든어택,㈜넥슨코리아,FPS
2386,2386,66,7,(-),배틀그라운드,"펍지주식회사, 카카오게임즈",서바이벌 슈팅
2387,2387,66,8,(-),마인크래프트,엑스박스 게임 스튜디오,샌드박스
2388,2388,66,9,(-),던전앤파이터,㈜넥슨코리아,벨트 스크롤 액션 RPG
2389,2389,66,10,(+1),천하제일상 거상,㈜에이케이인터렉티브,MMORPG
2390,2390,66,11,(-1),카트라이더,㈜넥슨코리아,레이싱
2391,2391,66,12,(+6),엘리온,(주)카카오게임즈,MMORPG
2392,2392,66,13,(-1),발로란트,라이엇 게임즈,FPS
2393,2393,66,14,(-1),리니지,㈜엔씨소프트,MMORPG
2394,2394,66,15,(-1),오버워치,블리자드 엔터테인먼트,팀 기반 슈팅
2395,2395,66,16,(-),아키에이지,㈜엑스엘게임즈,판타지 RPG
2396,2396,66,17,(-),사이퍼즈,㈜넥슨코리아,액션
2397,2397,66,18,(-3),마비노기,㈜넥슨코리아,MMORPG
2398,2398,66,19,(-),테일즈런너,㈜스마일게이트메가포트,레이싱
2399,2399,66,20,(+8),패스 오브 엑자일,㈜카카오게임즈,ARPG
2400,2400,65,1,(-),리그 오브 레전드,라이엇 게임즈,MOBA
2401,2401,65,2,(-),피파온라인4,㈜넥슨코리아,스포츠
2402,2402,65,3,(-),로스트아크,㈜스마일게이트알피지,핵앤슬래시 MMORPG
2403,2403,65,4,(+1),아이온,㈜엔씨소프트,MMORPG
2404,2404,65,5,(-1),메이플스토리,㈜넥슨코리아,MMORPG
2405,2405,65,6,(-),서든어택,㈜넥슨코리아,FPS
2406,2406,65,7,(-),배틀그라운드,"펍지주식회사, 카카오게임즈",서바이벌 슈팅
2407,2407,65,8,(-),마인크래프트,엑스박스 게임 스튜디오,샌드박스
2408,2408,65,9,(-),던전앤파이터,㈜넥슨코리아,벨트 스크롤 액션 RPG
2409,2409,65,10,(+1),카트라이더,㈜넥슨코리아,레이싱
2410,2410,65,11,(-1),천하제일상 거상,㈜에이케이인터렉티브,MMORPG
2411,2411,65,12,(+1),발로란트,라이엇 게임즈,FPS
2412,2412,65,13,(+1),리니지,㈜엔씨소프트,MMORPG
2413,2413,65,14,(+1),오버워치,블리자드 엔터테인먼트,팀 기반 슈팅
2414,2414,65,15,(+2),사이퍼즈,㈜넥슨코리아,액션
2415,2415,65,16,(-),아키에이지,㈜엑스엘게임즈,판타지 RPG
2416,2416,65,17,(+3),패스 오브 엑자일,㈜카카오게임즈,ARPG
2417,2417,65,18,(+1),테일즈런너,㈜스마일게이트메가포트,레이싱
2418,2418,65,19,(-1),마비노기,㈜넥슨코리아,MMORPG
2419,2419,65,20,(-8),엘리온,(주)카카오게임즈,MMORPG
2420,2420,64,1,(-),리그 오브 레전드,라이엇 게임즈,MOBA
2421,2421,64,2,(-),피파온라인4,㈜넥슨코리아,스포츠
2422,2422,64,3,(-),로스트아크,㈜스마일게이트알피지,핵앤슬래시 MMORPG
2423,2423,64,4,(-),아이온,㈜엔씨소프트,MMORPG
2424,2424,64,5,(-),메이플스토리,㈜넥슨코리아,MMORPG
2425,2425,64,6,(-),서든어택,㈜넥슨코리아,FPS
2426,2426,64,7,(-),배틀그라운드,"펍지주식회사, 카카오게임즈",서바이벌 슈팅
2427,2427,64,8,(-),마인크래프트,엑스박스 게임 스튜디오,샌드박스
2428,2428,64,9,(-),던전앤파이터,㈜넥슨코리아,벨트 스크롤 액션 RPG
2429,2429,64,10,(-),카트라이더,㈜넥슨코리아,레이싱
2430,2430,64,11,(+1),발로란트,라이엇 게임즈,FPS
2431,2431,64,12,(+2),오버워치,블리자드 엔터테인먼트,팀 기반 슈팅
2432,2432,64,13,(-),리니지,㈜엔씨소프트,MMORPG
2433,2433,64,14,(+1),사이퍼즈,㈜넥슨코리아,액션
2434,2434,64,15,(+1),아키에이지,㈜엑스엘게임즈,판타지 RPG
2435,2435,64,16,(+1),패스 오브 엑자일,㈜카카오게임즈,ARPG
2436,2436,64,17,(-6),천하제일상 거상,㈜에이케이인터렉티브,MMORPG
2437,2437,64,18,(-),테일즈런너,㈜스마일게이트메가포트,레이싱
2438,2438,64,19,(-),마비노기,㈜넥슨코리아,MMORPG
2439,2439,64,20,(+1),블레이드앤소울,㈜엔씨소프트,MMORPG
2440,2440,63,1,(-),리그 오브 레전드,라이엇 게임즈,MOBA
2441,2441,63,2,(-),피파온라인4,㈜넥슨코리아,스포츠
2442,2442,63,3,(-),로스트아크,㈜스마일게이트알피지,핵앤슬래시 MMORPG
2443,2443,63,4,(+1),메이플스토리,㈜넥슨코리아,MMORPG
2444,2444,63,5,(-1),아이온,㈜엔씨소프트,MMORPG
2445,2445,63,6,(-),서든어택,㈜넥슨코리아,FPS
2446,2446,63,7,(-),배틀그라운드,"펍지주식회사, 카카오게임즈",서바이벌 슈팅
2447,2447,63,8,(-),마인크래프트,엑스박스 게임 스튜디오,샌드박스
2448,2448,63,9,(-),던전앤파이터,㈜넥슨코리아,벨트 스크롤 액션 RPG
2449,2449,63,10,(-),카트라이더,㈜넥슨코리아,레이싱
2450,2450,63,11,(+6),천하제일상 거상,㈜에이케이인터렉티브,MMORPG
2451,2451,63,12,(-1),발로란트,라이엇 게임즈,FPS
2452,2452,63,13,(-1),오버워치,블리자드 엔터테인먼트,팀 기반 슈팅
2453,2453,63,14,(-1),리니지,㈜엔씨소프트,MMORPG
2454,2454,63,15,(-),아키에이지,㈜엑스엘게임즈,판타지 RPG
2455,2455,63,16,(-2),사이퍼즈,㈜넥슨코리아,액션
2456,2456,63,17,(-1),패스 오브 엑자일,㈜카카오게임즈,ARPG
2457,2457,63,18,(-),테일즈런너,㈜스마일게이트메가포트,레이싱
2458,2458,63,19,(+1),블레이드앤소울,㈜엔씨소프트,MMORPG
2459,2459,63,20,(+1),스타크래프트: 브루드 워,블리자드 엔터테인먼트 코리아,RTS
2460,2460,62,1,(-),리그 오브 레전드,라이엇 게임즈,MOBA
2461,2461,62,2,(-),피파온라인4,㈜넥슨코리아,스포츠
2462,2462,62,3,(-),로스트아크,㈜스마일게이트알피지,핵앤슬래시 MMORPG
2463,2463,62,4,(+1),아이온,㈜엔씨소프트,MMORPG
2464,2464,62,5,(-1),메이플스토리,㈜넥슨코리아,MMORPG
2465,2465,62,6,(-),서든어택,㈜넥슨코리아,FPS
2466,2466,62,7,(-),배틀그라운드,"펍지주식회사, 카카오게임즈",서바이벌 슈팅
2467,2467,62,8,(-),마인크래프트,엑스박스 게임 스튜디오,샌드박스
2468,2468,62,9,(-),던전앤파이터,㈜넥슨코리아,벨트 스크롤 액션 RPG
2469,2469,62,10,(+1),천하제일상 거상,㈜에이케이인터렉티브,MMORPG
2470,2470,62,11,(-1),카트라이더,㈜넥슨코리아,레이싱
2471,2471,62,12,(-),발로란트,라이엇 게임즈,FPS
2472,2472,62,13,(-),오버워치,블리자드 엔터테인먼트,팀 기반 슈팅
