,week_num,level_0,rank,change,name,service,genre
3420,14,3420,1,(-),리니지2M,NCSOFT Corporation,롤플레잉
3421,14,3421,2,(+1),브롤스타즈,Supercell,액션
3422,14,3422,3,(-1),V4,NEXON Company,롤플레잉
3423,14,3423,4,(-),리니지M,NCSOFT Corporation,롤플레잉
3424,14,3424,5,(-),검은사막 모바일,PEARL ABYSS,롤플레잉
3425,14,3425,6,(-),달빛조각사,Kakao Games Corp.,롤플레잉
3426,14,3426,7,(+1),ROBLOX,Roblox Corporation,어드벤처
3427,14,3427,8,(+1),라이즈 오브 킹덤즈,Lilith Games,전략
3428,14,3428,9,(-2),엑소스 히어로즈,LINE Games,롤플레잉
3429,14,3429,10,(-),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
3430,14,3430,11,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
3431,14,3431,12,(+3),메이플스토리M,NEXON Company,롤플레잉
3432,14,3432,13,(-1),리니지2 레볼루션,Netmarble,롤플레잉
3433,14,3433,14,(-1),블레이드&소울 레볼루션,Netmarble,롤플레잉
3434,14,3434,15,(+1),포켓몬고,"Niantic, Inc.",어드벤처
3435,14,3435,16,(+2),좀비고등학교,AWESOMEPIECE,아케이드
